parish_id,slug,name,line1,line2,city,state,postal_code,name_verified,address_verified,latitude,longitude
nativity-seas,nativity-of-blessed-virgin-mary,Church of the Nativity of the Blessed Virgin Mary,152 Main Street,,Brockport,NY,14420,,,43.2128494,-77.9399647
nativity-seas,st-elizabeth-ann-seton,Saint Elizabeth Ann Seton Church,3747 Brick Schoolhouse Road,,Hamlin,NY,14464,,,43.31289,-77.9227876
transfiguration-st-catherine-mendon,transfiguration,Church of the Transfiguration,50 West Bloomfield Road,,Pittsford,NY,14534,,,43.0575106,-77.5212237
transfiguration-st-catherine-mendon,st-catherine-of-siena-mendon,St. Catherine of Siena Church,26 Mendon-Ionia Road,,Mendon,NY,14506,,,42.996167,-77.5042105
st-monica-emmanuel,st-monica,St. Monica Church,34 Monica Street,,Rochester,NY,14619,,,43.1340859,-77.6370623
good-shepherd-catholic-community,st-patricks-moravia,St. Patrick's Church,51 Grove Street,,Moravia,NY,13118,true,false,42.7094458,-76.424062
good-shepherd-catholic-community,st-patricks-aurora,St. Patrick's Church,303 Main Street,,Aurora,NY,13026,true,false,42.7094458,-76.424062
good-shepherd-catholic-community,our-lady-of-the-lake,Our Lady of the Lake,8695 State Route 90,,King Ferry,NY,13081,true,false,,
good-shepherd-catholic-community,st-michaels,St. Michael's Church,162 Cayuga Street,,Union Springs,NY,13160,true,false,42.842092,-76.691891
holy-apostles,holy-apostles,Holy Apostles Church,530 Lyell Avenue,,Rochester,NY,14606,,,43.1650075,-77.6436876
our-mother-of-sorrows-holy-cross,our-mother-of-sorrows,Our Mother of Sorrows,5000 Mount Read Boulevard,,Rochester,NY,14612,true,true,43.2516358,-77.6590211
our-mother-of-sorrows-holy-cross,holy-cross-rochester,Holy Cross Church,4492 Lake Avenue,,Rochester,NY,14612,true,true,43.2528157,-77.6120689
holy-family-catholic-community,st-joseph-wayland,St. Joseph Church,208 Fremont Street,,Wayland,NY,14572,,,42.5686758,-77.5951581
holy-family-catholic-community,st-mary-dansville,St. Mary Church,38 Elizabeth Street,,Dansville,NY,14437,,,42.5603868,-77.6928581
holy-family-catholic-community,sacred-heart-of-jesus,Sacred Heart of Jesus Church,11114 Chapel Street,,Perkinsville,NY,14529,,,,
holy-family-catholic-community,st-pius-v,St. Pius V Church,35 Maple Avenue,,Cohocton,NY,14826,,,42.5008445,-77.496703
holy-trinity-webster,holy-trinity,Holy Trinity Church,1460 Ridge Road,,Webster,NY,14580,,,43.2145951,-77.4162619
immaculate-conception-ithaca,immaculate-conception,Immaculate Conception Church,113 North Geneva Street,,Ithaca,NY,14850,true,true,42.4401742,-76.500315
immaculate-conception-st-bridgets,immaculate-conception-st-bridgets,Immaculate Conception/St. Bridget's Church,445 Frederick Douglass Street,,Rochester,NY,14608,true,true,43.1467044,-77.6167524
mary-mother-of-mercy,holy-cross-ovid,Holy Cross Church,7231 Main Street,,Ovid,NY,14521,,,42.6737495,-76.8229135
mary-mother-of-mercy,st-francis-solanus,St. Francis Solanus Church,3660 Orchard Street,,Interlaken,NY,14847,,,42.616053,-76.7233476
mary-mother-of-mercy,st-james-apostle,St. James the Apostle,17 Whig Street,,Trumansburg,NY,14886,,,42.5399821,-76.6594573
